collection,metric,k,score,embedding_model
petrobras_rag_teoria,MRR,-,0.0,BAAI/bge-large-en-v1.5
petrobras_rag_teoria,P@1,1,0.0,BAAI/bge-large-en-v1.5
petrobras_rag_teoria,nDCG@1,1,0.0,BAAI/bge-large-en-v1.5
petrobras_rag_teoria,HR@1,1,0.0,BAAI/bge-large-en-v1.5
petrobras_rag_teoria,P@3,3,0.0,BAAI/bge-large-en-v1.5
petrobras_rag_teoria,nDCG@3,3,0.0,BAAI/bge-large-en-v1.5
petrobras_rag_teoria,HR@3,3,0.0,BAAI/bge-large-en-v1.5
petrobras_rag_teoria,P@5,5,0.0,BAAI/bge-large-en-v1.5
petrobras_rag_teoria,nDCG@5,5,0.0,BAAI/bge-large-en-v1.5
petrobras_rag_teoria,HR@5,5,0.0,BAAI/bge-large-en-v1.5
petrobras_rag_teoria,P@10,10,0.0,BAAI/bge-large-en-v1.5
petrobras_rag_teoria,nDCG@10,10,0.0,BAAI/bge-large-en-v1.5
petrobras_rag_teoria,HR@10,10,0.0,BAAI/bge-large-en-v1.5
normas_tecnicas_publicas,MRR,-,0.0,BAAI/bge-large-en-v1.5
normas_tecnicas_publicas,P@1,1,0.0,BAAI/bge-large-en-v1.5
normas_tecnicas_publicas,nDCG@1,1,0.0,BAAI/bge-large-en-v1.5
normas_tecnicas_publicas,HR@1,1,0.0,BAAI/bge-large-en-v1.5
normas_tecnicas_publicas,P@3,3,0.0,BAAI/bge-large-en-v1.5
normas_tecnicas_publicas,nDCG@3,3,0.0,BAAI/bge-large-en-v1.5
normas_tecnicas_publicas,HR@3,3,0.0,BAAI/bge-large-en-v1.5
normas_tecnicas_publicas,P@5,5,0.0,BAAI/bge-large-en-v1.5
normas_tecnicas_publicas,nDCG@5,5,0.0,BAAI/bge-large-en-v1.5
normas_tecnicas_publicas,HR@5,5,0.0,BAAI/bge-large-en-v1.5
normas_tecnicas_publicas,P@10,10,0.0,BAAI/bge-large-en-v1.5
normas_tecnicas_publicas,nDCG@10,10,0.0,BAAI/bge-large-en-v1.5
normas_tecnicas_publicas,HR@10,10,0.0,BAAI/bge-large-en-v1.5
